OZHDS,S,33,25.80,-33.43,E,148,22.20,148.37
YEVD,S,29,06.15,-29.1025,E,153,25.24,153.42066666666668
OZHBR,S,29,11.79,-29.1965,E,153,23.03,153.38383333333334
YXFO,S,33,23.75,-33.395833333333336,E,148,00.83,148.01383333333334
OZHCD,S,34,10.82,-34.18033333333333,E,151,02.30,151.03833333333333
OZHCB,S,34,46.57,-34.77616666666667,E,150,47.34,150.789
OZHBU,S,29,31.16,-29.519333333333332,E,152,18.65,152.31083333333333
YXGR,S,31,42.24,-31.704,E,148,39.91,148.66516666666666
YXGE,S,29,43.83,-29.7305,E,151,44.18,151.73633333333333
YGLK,S,33,47.25,-33.7875,E,150,36.51,150.6085
YXGC,S,32,00.89,-32.014833333333335,E,151,57.60,151.96
YXGS,S,33,25.30,-33.42166666666667,E,151,20.39,151.33983333333333
YXGH,S,34,44.89,-34.74816666666667,E,149,42.74,149.71233333333333
OZHKM,S,34,44.19,-34.7365,E,149,43.72,149.72866666666667
YXGP,S,29,40.42,-29.673666666666666,E,152,56.45,152.94083333333333
YXGL,S,33,54.37,-33.906166666666664,E,148,09.69,148.1615
YXGT,S,32,21.46,-32.35766666666667,E,149,32.33,149.53883333333334
YXGW,S,35,04.10,-35.068333333333335,E,148,06.15,148.1025
OZHDZ,S,33,25.61,-33.426833333333335,E,151,02.16,151.036
OZHDC,S,33,26.93,-33.44883333333333,E,151,04.39,151.07316666666668
YXGU,S,30,58.97,-30.982833333333332,E,150,15.13,150.25216666666665
OZHCC,S,36,22.64,-36.37733333333333,E,148,22.55,148.37583333333333
OZHCE,S,32,54.43,-32.90716666666667,E,150,44.85,150.7475
OZHJK,S,34,33.36,-34.556,E,148,22.08,148.368
OZHJX,S,34,30.00,-34.5,E,144,51.20,144.85333333333332
OZHDO,S,33,02.22,-33.037,E,149,24.80,149.41333333333333
OZHDU,S,33,02.20,-33.03666666666667,E,149,24.80,149.41333333333333
YHPG,S,33,49.70,-33.82833333333333,E,151,15.70,151.26166666666666
YXHK,S,33,42.19,-33.70316666666667,E,151,06.77,151.11283333333333
OZHIU,S,29,24.41,-29.406833333333335,E,153,21.17,153.35283333333334
YXIV,S,29,46.30,-29.77166666666667,E,151,07.90,151.13166666666666
YXJD,S,36,25.08,-36.418,E,148,36.91,148.61516666666665
YXJH,S,32,55.44,-32.924,E,151,41.60,151.69333333333333
OZHDX,S,33,43.68,-33.728,E,150,18.06,150.301
OZHJL,S,33,42.29,-33.70483333333333,E,150,18.40,150.30666666666667
YKAM,S,34,40.47,-34.6745,E,150,51.46,150.85766666666666
YXKO,S,28,37.70,-28.628333333333334,E,153,00.10,153.00166666666667
YXLE,S,34,33.60,-34.56,E,146,24.30,146.405
YLIH,S,28,48.54,-28.809,E,153,17.53,153.29216666666667
YXLG,S,33,29.96,-33.49933333333333,E,150,07.73,150.12883333333335
YXLL,S,33,55.21,-33.92016666666667,E,150,55.83,150.9305
OZHFL,S,33,44.35,-33.73916666666667,E,151,18.62,151.31033333333335
