YAFD,S,37,50.71,-37.845166666666664,E,144,58.88,144.98133333333334
YBAF,S,27,34.19,-27.56983333333333,E,153,0.05,153.00083333333333
YBMG,S,36,25.59,-36.4265,E,150,4.57,150.07616666666667
YBOA,S,28,1.0,-28.016666666666666,E,152,40.9,152.68166666666667
YBPI,S,20,48.4,-20.806666666666665,E,149,16.9,149.28166666666667
YBUI,S,41,2.83,-41.04716666666667,E,145,52.84,145.88066666666666
YCAX,S,28,0.12,-28.002,E,153,21.45,153.3575
YCNT,S,27,15.53,-27.25883333333333,E,152,3.31,152.05516666666668
YCOV,S,27,49.4,-27.823333333333334,E,153,24.56,153.40933333333334
YDDI,S,20,15.58,-20.259666666666668,E,148,48.72,148.812
YEVD,S,29,6.15,-29.1025,E,153,25.24,153.42066666666668
YGIS,S,37,29.05,-37.48416666666667,E,144,35.14,144.58566666666667
YGLK,S,33,47.25,-33.7875,E,150,36.51,150.6085
YHPB,S,20,20.33,-20.338833333333334,E,148,51.13,148.85216666666668
YHPG,S,33,49.7,-33.82833333333333,E,151,15.7,151.26166666666666
YHPY,S,25,20.18,-25.336333333333332,E,153,12.11,153.20183333333333
YHRN,S,23,26.7,-23.445,E,151,54.6,151.91
YHYN,S,20,3.6,-20.06,E,148,53.1,148.885
YKAM,S,34,40.47,-34.6745,E,150,51.46,150.85766666666666
YLIH,S,28,48.54,-28.809,E,153,17.53,153.29216666666667
YLIN,S,20,27.0,-20.45,E,149,2.0,149.03333333333333
YLTT,S,24,5.93,-24.09883333333333,E,152,41.41,152.69016666666667
YMAT,S,27,29.09,-27.484833333333334,E,153,1.67,153.02783333333332
YMUR,S,28,19.86,-28.331,E,153,24.83,153.41383333333334
YNRH,S,32,52.44,-32.874,E,151,43.4,151.72333333333333
YOBE,S,33,42.04,-33.70066666666666,E,149,51.35,149.85583333333332
YOCM,S,32,23.65,-32.39416666666666,E,151,5.45,151.09083333333334
YPAC,S,25,14.37,-25.2395,E,152,32.61,152.5435
YPLI,S,29,26.72,-29.445333333333334,E,153,16.01,153.26683333333332
YPLT,S,27,25.58,-27.426333333333332,E,153,31.34,153.52233333333334
YPOR,S,33,21.27,-33.3545,E,149,58.98,149.983
YPRC,S,27,23.4,-27.39,E,153,1.4,153.02333333333334
YPRI,S,27,30.01,-27.500166666666665,E,153,2.03,153.03383333333332
YPSR,S,36,24.31,-36.405166666666666,E,148,24.89,148.41483333333332
YRBC,S,27,27.01,-27.450166666666668,E,153,1.66,153.02766666666668
YRBH,S,27,26.82,-27.447,E,153,1.7,153.02833333333334
YRMH,S,37,47.57,-37.792833333333334,E,144,57.22,144.95366666666666
